2026-07-13 19:00:24 | DEBUG   | services.genai_service | LLM call. component=Questionnaire funnel: Governance Model / Internal Audit / Assurance regulation=DORA roles=None context_chars=0
2026-07-13 19:00:24 | DEBUG   | services.genai_service | LLM call. component=Questionnaire funnel: Regulatory Reporting & Financial Reporting / Compliance & Legal regulation=DORA roles=None context_chars=0
2026-07-13 19:00:24 | DEBUG   | services.genai_service | LLM call. component=Questionnaire funnel: Risk & Controls framework / Data Governance / Reporting regulation=DORA roles=None context_chars=0
2026-07-13 19:00:24 | DEBUG   | services.genai_service | LLM call. component=Questionnaire funnel: Risk & Controls framework / Risk Management regulation=DORA roles=None context_chars=0
2026-07-13 19:00:24 | DEBUG   | services.genai_service | LLM call. component=Free-text SME narrative questions regulation=DORA roles=None context_chars=0
2026-07-13 19:01:11 | INFO    | services.ai_questionnaire_generator | AI questionnaire: 13 parallel workers (12 pair funnels + 1 free-text) complete in 47.2s.
2026-07-13 19:01:11 | INFO    | services.questionnaire_generator | Questionnaire package assembled. questions=116 overall_confidence=90
2026-07-13 19:01:11 | INFO    | services.questionnaire_enhancer | Questionnaire enhanced. questions=116 areas=17
2026-07-13 19:01:11 | INFO    | agents.questionnaire_agent | QuestionnaireAgent.from_report done. regulation=DORA roles=None questions=116
2026-07-13 19:01:11 | INFO    | orchestrator | Agent 3 completed. questions=116
2026-07-13 19:01:11 | INFO    | __main__ | Impact intelligence assessed on Page 3 (parallel with Agent 3).
2026-07-13 19:01:11 | INFO    | __main__ | Agent 3 completed. questionnaire_id=34 questions=116 source=generated_brd
2026-07-13 19:01:11 | INFO    | __main__ | Reg AI RAP starting up. Log file at C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log
2026-07-13 19:01:54 | INFO    | __main__ | User clicked Calculate Impact & Readiness. assessment_id=None answers=116
2026-07-13 19:01:54 | DEBUG   | __main__ | Refreshing scoring snapshot. responses=116 dynamic_queue=0
2026-07-13 19:01:54 | DEBUG   | orchestrator | Rules engine invoked. base_questions=116 active=77 responses=116 dynamic_queue=0
2026-07-13 19:01:54 | DEBUG   | services.scoring_engine | scoring.evaluate() start. base=77 dynamic=0 responses=116 skipped=0
2026-07-13 19:01:54 | INFO    | orchestrator | Rules engine done. compliance=42.2% top_gap=BR-PRO-012
2026-07-13 19:01:54 | DEBUG   | services.genai_service | LLM call. component=Regulatory Readiness Assessment regulation=None roles=None context_chars=2332
2026-07-13 19:02:06 | DEBUG   | services.genai_service | LLM call. component=Regulatory Confidence Assessment regulation=None roles=None context_chars=641
2026-07-13 19:02:12 | DEBUG   | services.readiness_score | compute_weighted_readiness. questions=116 responses=116 weights=['ICT Governance & Risk Management', 'ICT Policies & Standards', 'ICT Processes & Operating Model', 'ICT Controls & Compliance Controls', 'ICT Technology & Architecture', 'Documentation & Evidence', 'Training & Awareness']
2026-07-13 19:02:12 | INFO    | services.readiness_score | Weighted readiness computed. overall=58.5 rating=Needs Significant Improvement completeness=100.0 accuracy=65.2
2026-07-13 19:02:12 | INFO    | services.impact_score | Weighted impact computed. overall=96.24 rating=Very High Impact priority=39.96
2026-07-13 19:02:12 | INFO    | __main__ | Assessment submitted, routing user to Dashboard.
2026-07-13 19:02:12 | INFO    | __main__ | Reg AI RAP starting up. Log file at C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log
2026-07-13 19:02:12 | DEBUG   | __main__ | Refreshing scoring snapshot. responses=116 dynamic_queue=0
2026-07-13 19:02:12 | DEBUG   | orchestrator | Rules engine invoked. base_questions=116 active=77 responses=116 dynamic_queue=0
2026-07-13 19:02:12 | DEBUG   | services.scoring_engine | scoring.evaluate() start. base=77 dynamic=0 responses=116 skipped=0
2026-07-13 19:02:12 | INFO    | orchestrator | Rules engine done. compliance=42.2% top_gap=BR-PRO-012
2026-07-13 19:02:12 | DEBUG   | services.genai_service | LLM call. component=Regulatory Readiness Assessment regulation=None roles=None context_chars=2332
2026-07-13 19:02:21 | DEBUG   | services.genai_service | LLM call. component=Regulatory Confidence Assessment regulation=None roles=None context_chars=641
2026-07-13 19:02:33 | DEBUG   | services.readiness_score | compute_weighted_readiness. questions=116 responses=116 weights=['ICT Governance & Risk Management', 'ICT Policies & Standards', 'ICT Processes & Operating Model', 'ICT Controls & Compliance Controls', 'ICT Technology & Architecture', 'Documentation & Evidence', 'Training & Awareness']
2026-07-13 19:02:34 | INFO    | services.readiness_score | Weighted readiness computed. overall=58.5 rating=Needs Significant Improvement completeness=100.0 accuracy=65.2
2026-07-13 19:02:34 | INFO    | services.impact_score | Weighted impact computed. overall=96.24 rating=Very High Impact priority=39.96
2026-07-13 19:02:34 | INFO    | orchestrator | Agent 4 (Recommendations) invoked. min_severity=Watch top_n=10 enrich=False
2026-07-13 19:02:34 | INFO    | agents.recommendation_agent | Agent 4 recommend() start. min_severity=Watch top_n=10 enrich=False roles=None
2026-07-13 19:02:34 | INFO    | services.recommendation_service | Generating recommendations. min_severity=Watch top_n=10 evaluation_areas=10
2026-07-13 19:02:34 | INFO    | services.rich_recommendation_service | Building rich recommendations. enrich_with_genai=False client=offline top_gaps=10
2026-07-13 19:02:34 | INFO    | orchestrator | Agent 4 completed. recommendations=22
2026-07-13 19:03:19 | INFO    | __main__ | Reg AI RAP starting up. Log file at C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log
2026-07-13 19:03:19 | DEBUG   | __main__ | Refreshing scoring snapshot. responses=116 dynamic_queue=0
2026-07-13 19:03:19 | DEBUG   | orchestrator | Rules engine invoked. base_questions=116 active=77 responses=116 dynamic_queue=0
2026-07-13 19:03:19 | DEBUG   | services.scoring_engine | scoring.evaluate() start. base=77 dynamic=0 responses=116 skipped=0
2026-07-13 19:03:19 | INFO    | orchestrator | Rules engine done. compliance=42.2% top_gap=BR-PRO-012
2026-07-13 19:03:19 | DEBUG   | services.genai_service | LLM call. component=Regulatory Readiness Assessment regulation=None roles=None context_chars=2332
2026-07-13 19:03:34 | DEBUG   | services.genai_service | LLM call. component=Regulatory Confidence Assessment regulation=None roles=None context_chars=641
2026-07-13 19:03:43 | DEBUG   | services.readiness_score | compute_weighted_readiness. questions=116 responses=116 weights=['ICT Governance & Risk Management', 'ICT Policies & Standards', 'ICT Processes & Operating Model', 'ICT Controls & Compliance Controls', 'ICT Technology & Architecture', 'Documentation & Evidence', 'Training & Awareness']
2026-07-13 19:03:43 | INFO    | services.readiness_score | Weighted readiness computed. overall=58.5 rating=Needs Significant Improvement completeness=100.0 accuracy=65.2
2026-07-13 19:03:43 | INFO    | services.impact_score | Weighted impact computed. overall=96.24 rating=Very High Impact priority=39.96
2026-07-13 19:03:56 | INFO    | __main__ | Reg AI RAP starting up. Log file at C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log
2026-07-13 19:03:56 | DEBUG   | __main__ | Refreshing scoring snapshot. responses=116 dynamic_queue=0
2026-07-13 19:03:56 | DEBUG   | orchestrator | Rules engine invoked. base_questions=116 active=77 responses=116 dynamic_queue=0
2026-07-13 19:03:56 | DEBUG   | services.scoring_engine | scoring.evaluate() start. base=77 dynamic=0 responses=116 skipped=0
2026-07-13 19:03:56 | INFO    | orchestrator | Rules engine done. compliance=42.2% top_gap=BR-PRO-012
2026-07-13 19:03:56 | DEBUG   | services.genai_service | LLM call. component=Regulatory Readiness Assessment regulation=None roles=None context_chars=2332
2026-07-13 19:04:06 | DEBUG   | services.genai_service | LLM call. component=Regulatory Confidence Assessment regulation=None roles=None context_chars=641
2026-07-13 19:04:16 | DEBUG   | services.readiness_score | compute_weighted_readiness. questions=116 responses=116 weights=['ICT Governance & Risk Management', 'ICT Policies & Standards', 'ICT Processes & Operating Model', 'ICT Controls & Compliance Controls', 'ICT Technology & Architecture', 'Documentation & Evidence', 'Training & Awareness']
2026-07-13 19:04:16 | INFO    | services.readiness_score | Weighted readiness computed. overall=58.5 rating=Needs Significant Improvement completeness=100.0 accuracy=65.2
2026-07-13 19:04:16 | INFO    | services.impact_score | Weighted impact computed. overall=96.24 rating=Very High Impact priority=39.96
2026-07-13 19:37:43 | INFO    | services.logging_config | Reg AI RAP logging initialised. file=C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log file_level=DEBUG console_level=INFO
2026-07-13 19:37:43 | INFO    | __main__ | Reg AI RAP starting up. Log file at C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log
2026-07-13 19:37:44 | DEBUG   | __main__ | Refreshing scoring snapshot. responses=116 dynamic_queue=0
2026-07-13 19:37:44 | DEBUG   | orchestrator | Rules engine invoked. base_questions=116 active=77 responses=116 dynamic_queue=0
2026-07-13 19:37:44 | DEBUG   | services.scoring_engine | scoring.evaluate() start. base=77 dynamic=0 responses=116 skipped=0
2026-07-13 19:37:44 | INFO    | orchestrator | Rules engine done. compliance=42.2% top_gap=BR-PRO-012
2026-07-13 19:37:44 | DEBUG   | services.genai_service | LLM call. component=Regulatory Readiness Assessment regulation=None roles=None context_chars=2332
2026-07-13 19:37:55 | DEBUG   | services.genai_service | LLM call. component=Regulatory Confidence Assessment regulation=None roles=None context_chars=641
2026-07-13 19:38:05 | DEBUG   | services.readiness_score | compute_weighted_readiness. questions=116 responses=116 weights=['ICT Governance & Risk Management', 'ICT Policies & Standards', 'ICT Processes & Operating Model', 'ICT Controls & Compliance Controls', 'ICT Technology & Architecture', 'Documentation & Evidence', 'Training & Awareness']
